name,region,hemisphere,tissue,Y
37085,2,left,white,LW
37086,2,left,white,LW
37087,2,left,white,LW
37088,2,left,white,LW
37089,2,left,white,LW
37090,2,left,white,LW
37091,2,left,gray,LG
37092,2,left,gray,LG
37105,67,right,gray,RG
37106,67,right,gray,RG
37111,71,right,gray,RG
37112,71,right,gray,RG
37115,37,right,gray,RG
37116,37,right,white,RW
37117,37,right,white,RW
37118,37,right,white,RW
37119,37,right,white,RW
37120,37,right,white,RW
37121,37,right,white,RW
37122,37,right,white,RW
37123,37,right,white,RW
37124,37,right,white,RW
37125,37,right,gray,RG
37126,2,left,gray,LG
37128,2,left,gray,LG
37129,2,left,gray,LG
37130,2,left,white,LW
37131,2,left,white,LW
37132,2,left,white,LW
37133,2,left,white,LW
37134,2,left,white,LW
37135,2,left,white,LW
37136,2,left,white,LW
37137,2,left,white,LW
37138,2,left,white,LW
37141,36,left,gray,LG
37153,67,right,gray,RG
37154,67,right,gray,RG
37156,67,right,gray,RG
37157,71,right,gray,RG
37160,71,right,gray,RG
37162,37,right,gray,RG
37163,37,right,white,RW
37164,37,right,white,RW
37165,37,right,white,RW
37166,37,right,white,RW
37167,37,right,white,RW
37168,37,right,white,RW
37169,37,right,white,RW
37170,37,right,white,RW
37171,37,right,gray,RG
37172,37,right,gray,RG
37175,2,left,gray,LG
37176,2,left,gray,LG
37177,2,left,white,LW
37178,2,left,white,LW
37179,2,left,white,LW
37180,2,left,white,LW
37181,2,left,white,LW
37182,2,left,white,LW
37183,2,left,white,LW
37184,2,left,white,LW
37185,2,left,gray,LG
37186,2,left,gray,LG
37187,36,left,gray,LG
37188,36,left,gray,LG
37200,67,right,gray,RG
37201,67,right,gray,RG
37202,67,right,gray,RG
37203,67,right,gray,RG
37204,67,right,white,RW
37205,67,right,gray,RG
37206,71,right,gray,RG
37208,71,right,gray,RG
37209,71,right,gray,RG
37210,71,right,gray,RG
37211,37,right,gray,RG
37212,37,right,white,RW
37213,37,right,white,RW
37214,37,right,white,RW
37215,37,right,white,RW
37216,37,right,white,RW
37217,37,right,white,RW
37218,37,right,gray,RG
37219,37,right,gray,RG
37224,2,left,gray,LG
37225,2,left,gray,LG
37226,2,left,white,LW
37227,2,left,white,LW
37228,2,left,white,LW
37229,2,left,white,LW
37230,2,left,white,LW
37231,2,left,white,LW
37232,2,left,white,LW
37233,36,left,gray,LG
37234,36,left,gray,LG
37235,36,left,gray,LG
37236,36,left,gray,LG
37240,32,left,gray,LG
37241,32,left,gray,LG
37242,32,left,gray,LG
37252,67,right,white,RW
37253,67,right,white,RW
37254,67,right,gray,RG
37255,67,right,gray,RG
37256,71,right,gray,RG
37257,71,right,gray,RG
37258,71,right,white,RW
37259,37,right,gray,RG
37260,37,right,white,RW
37261,37,right,white,RW
37262,37,right,white,RW
37263,37,right,white,RW
37264,37,right,white,RW
37265,37,right,white,RW
37266,37,right,gray,RG
37267,37,right,gray,RG
37273,2,left,gray,LG
37274,2,left,gray,LG
37275,2,left,white,LW
37276,2,left,white,LW
37277,2,left,white,LW
37278,2,left,white,LW
37279,2,left,white,LW
37280,2,left,white,LW
37281,36,left,gray,LG
37282,36,left,white,LW
37283,36,left,white,LW
37285,36,left,gray,LG
37286,32,left,gray,LG
37287,32,left,gray,LG
37288,32,left,gray,LG
37298,67,right,gray,RG
37299,67,right,gray,RG
37300,67,right,white,RW
37301,67,right,white,RW
37302,67,right,white,RW
37303,67,right,gray,RG
37304,67,right,gray,RG
37305,67,right,gray,RG
37306,71,right,white,RW
37307,71,right,white,RW
37308,37,right,white,RW
37309,37,right,white,RW
37310,37,right,white,RW
37311,37,right,white,RW
37312,37,right,white,RW
37313,37,right,gray,RG
37314,37,right,gray,RG
37322,2,left,gray,LG
37323,2,left,gray,LG
37324,2,left,white,LW
37325,2,left,white,LW
37326,2,left,white,LW
37327,2,left,white,LW
37328,36,left,white,LW
37329,36,left,white,LW
37330,36,left,white,LW
37331,36,left,gray,LG
37332,36,left,gray,LG
37333,32,left,gray,LG
37334,32,left,gray,LG
37335,32,left,gray,LG
37336,32,left,gray,LG
37347,38,right,gray,RG
37348,38,right,gray,RG
37349,38,right,white,RW
37350,38,right,white,RW
37351,67,right,white,RW
37352,67,right,white,RW
37353,67,right,white,RW
37354,67,right,white,RW
37355,67,right,white,RW
37356,37,right,white,RW
37357,37,right,gray,RG
37358,37,right,gray,RG
37359,37,right,gray,RG
37360,37,right,gray,RG
37361,37,right,gray,RG
37362,37,right,gray,RG
37363,37,right,white,RW
37364,37,right,white,RW
